TWLVC1|20260921|202609211813|1870|code,fgn,fgnD,inv,invD,dlrH,mgn,mgnChg,shrt,sr,big,bigChg,small,smallChg,holders,holdersChg,mgnRate,mgnCost,mgnConf
2506,-166,-9,0,0,0,,,,,72.37,,16.51,,65349,,,,
2509,-6,-1,0,0,0,,,,,63.89,,21.49,,16383,,,,
2511,162.374,1,0,0,0,,,,,75.47,,12.20,,45958,,,,
2514,-7,-2,0,0,0,,,,,85.09,,7.82,,17693,,,,
2515,-1988.64,-2,-39.829,-1,-3.249,,,,,53.56,,28.15,,142011,,,,
2516,5.963,4,0,0,0,,,,,65.60,,18.14,,49027,,,,
2520,641.426,3,0,0,-3.191,,,,,71.01,,19.05,,76589,,,,
2524,28,1,0,0,0,,,,,91.59,,5.03,,7572,,,,
2527,168.998,4,0,0,-7.471,,,,,76.26,,12.47,,7585,,,,
2528,410,6,53.078,5,0,,,,,79.06,,9.67,,8319,,,,
2530,-103.251,-1,87.366,5,-429.125,,,,,82.08,,8.17,,30920,,,,
2534,78.2,3,0,0,0,,,,,66.24,,18.99,,63125,,,,
2535,-3.599,-2,0,0,0,,,,,54.87,,30.12,,63408,,,,
2536,-27,-2,0,0,0,,,,,69.90,,12.68,,8341,,,,
2537,149.257,1,0,0,0,,,,,53.35,,28.61,,43284,,,,
2538,338,1,0,0,0,,,,,65.86,,16.17,,28679,,,,
2539,-177.24,-1,0,0,0,,,,,84.29,,8.85,,20473,,,,
2540,6.001,1,0,0,0,,,,,89.21,,6.22,,17376,,,,
2542,-4065.905,-1,565.999,17,-361.464,,,,,62.69,,26.96,,104507,,,,
2543,-387.236,-1,0,0,3.891,,,,,67.48,,22.48,,32142,,,,
2545,-12.005,-1,0,0,0,,,,,73.91,,18.19,,16418,,,,
2546,-17.614,-1,0,0,0,,,,,59.26,,28.54,,53817,,,,
2547,-61,-1,129.641,5,0,,,,,63.93,,19.89,,74458,,,,
2548,-559.398,-1,0,0,-2.722,,,,,38.95,,38.83,,40751,,,,
2596,-3,-2,0,0,0,,,,,61.73,,16.68,,3238,,,,
2597,8.29,3,1,1,0.28,,,,,78.08,,12.81,,12922,,,,
2601,674.21,1,0,0,0,,,,,26.55,,55.60,,107854,,,,
2603,1024.761,4,128.803,1,93.301,,,,,70.35,,19.89,,270028,,,,
2605,2376.791,1,0,0,77.549,,,,,49.18,,36.50,,105784,,,,
2606,341.954,2,-59,-1,-12.075,,,,,75.36,,16.79,,45568,,,,
2607,62.585,1,0,0,0,,,,,71.58,,15.76,,38922,,,,
2608,-26.001,-7,0,0,-0.002,,,,,71.30,,18.94,,51913,,,,
2609,4207.738,1,29,1,115.329,,,,,60.59,,33.01,,353197,,,,
2610,-959.5,-2,1110,4,29.484,,,,,70.15,,21.86,,243591,,,,
2611,47.2,1,0,0,0,,,,,44.10,,44.13,,50604,,,,
2612,154.09,1,0,0,-4.683,,,,,71.73,,19.37,,36588,,,,
2613,51.103,3,0,0,0,,,,,49.59,,35.80,,40086,,,,
2614,68,1,0,0,0,,,,,41.22,,44.33,,100812,,,,
2615,-4708.91,-1,-94.817,-2,-335.559,,,,,86.89,,7.91,,91546,,,,
2616,-3,-2,0,0,0,,,,,41.00,,47.14,,213603,,,,
2617,548.271,1,0,0,1.671,,,,,59.70,,27.62,,27678,,,,
2618,1727.653,1,905,5,-5.065,,,,,79.40,,13.54,,195586,,,,
2630,124.635,4,0,0,-1.024,,,,,61.70,,32.29,,23421,,,,
2633,-1985.5,-9,199.999,16,0,,,,,85.24,,10.39,,104280,,,,
2634,-1045.89,-1,3,1,-16.415,,,,,46.38,,44.18,,116677,,,,
2636,-9,-1,0,0,0,,,,,37.76,,46.88,,55318,,,,
2637,359.947,4,5,1,8.159,,,,,78.50,,10.18,,23392,,,,
2640,-8,-3,0,0,0.63,,,,,58.20,,14.06,,3451,,,,
2641,381.142,1,0,0,0,,,,,22.66,,58.50,,80127,,,,
2642,0,0,0,0,0,,,,,60.38,,37.82,,19566,,,,
2643,1,1,0,0,0,,,,,58.78,,31.43,,4282,,,,
2645,28.058,1,0,0,-20.237,,,,,78.21,,15.06,,31067,,,,
2646,-965.604,-2,3,2,1,,,,,63.60,,30.27,,241580,,,,
2701,0,0,0,0,0,,,,,84.55,,9.40,,14734,,,,
2702,2,3,0,0,0,,,,,72.55,,21.05,,12349,,,,
2704,-10,-2,0,0,0,,,,,83.74,,6.63,,30485,,,,
2705,-17,-1,0,0,0,,,,,60.56,,26.25,,83218,,,,
2706,-43,-8,0,0,0,,,,,81.57,,9.45,,16068,,,,
2707,12.292,1,0,0,0,,,,,54.75,,33.26,,18059,,,,
2712,-1,-1,0,0,0,,,,,86.86,,6.02,,2017,,,,
2718,-2,-1,4.425,5,0,,,,,88.24,,8.34,,2632,,,,
2719,1,2,0,0,0.98,,,,,89.18,,8.81,,3285,,,,
2722,-1,-1,0,0,0,,,,,82.09,,9.83,,4911,,,,
2723,54,1,0,0,0,,,,,61.82,,21.11,,8954,,,,
2726,0,0,0,0,0.002,,,,,49.92,,25.99,,2437,,,,
2727,-15.548,-6,0,0,-0.01,,,,,17.19,,42.81,,148854,,,,
2729,-1,-1,0,0,-0.287,,,,,59.29,,27.67,,6239,,,,
2731,59,1,0,0,0,,,,,33.76,,47.67,,30592,,,,
2732,0,0,0,0,-0.07,,,,,54.13,,35.40,,6057,,,,
2734,2,1,0,0,-0.019,,,,,31.34,,52.36,,28698,,,,
2736,-2,-2,0,0,-0.073,,,,,46.33,,31.21,,6296,,,,
2739,-19,-1,0,0,0,,,,,69.15,,20.33,,5363,,,,
2743,3,5,0,0,0.01,,,,,50.27,,42.23,,6742,,,,
2745,0,0,0,0,0.629,,,,,51.28,,42.16,,5255,,,,
2748,-9,-1,0,0,0,,,,,59.44,,31.39,,9570,,,,
2753,-3,-6,10.375,5,0,,,,,43.81,,33.95,,11892,,,,
2754,0,0,0,0,-0.006,,,,,66.51,,20.75,,4355,,,,
2755,5.251,3,0,0,-0.025,,,,,58.35,,22.32,,3855,,,,
2756,-1,-3,0,0,0,,,,,53.58,,16.51,,1611,,,,
2762,-13,-1,0,0,0,,,,,80.89,,9.90,,6153,,,,
2801,-3993.957,-6,-209,-2,4.077,,,,,74.11,,14.57,,279530,,,,
2812,2788,1,0,0,-0.511,,,,,54.24,,27.98,,248102,,,,
2816,23.446,1,0,0,0,,,,,75.68,,11.24,,10454,,,,
2820,1873.132,10,0,0,0,,,,,62.33,,25.06,,73454,,,,
2832,-19,-2,22.625,5,0.472,,,,,63.34,,20.90,,19611,,,,
2834,-1021.459,-2,13.999,3,-0.144,,,,,55.38,,26.57,,393426,,,,
2836,-546.254,-2,0,0,0,,,,,82.72,,9.86,,35388,,,,
2838,744.607,1,7,2,-11.103,,,,,88.80,,6.74,,50682,,,,
2845,1217.334,1,0,0,-0.412,,,,,71.36,,15.58,,99300,,,,
2849,50.345,3,0,0,0,,,,,97.98,,1.01,,9876,,,,
2850,73.218,1,0,0,0,,,,,57.79,,22.93,,17918,,,,
2851,2268.653,3,0,0,-83.552,,,,,66.72,,20.47,,27596,,,,
2852,-83,-1,0,0,0,,,,,54.07,,21.78,,21704,,,,
2855,7302.558,3,5,10,0,,,,,72.23,,15.38,,57998,,,,
2880,-1198.434,-1,-1139.43,-5,4.93,,,,,79.74,,12.79,,471361,,,,
2881,7344.803,1,-1102.504,-3,195.396,,,,,84.58,,10.22,,377527,,,,
2882,6268.529,1,100.259,1,338.782,,,,,83.53,,10.87,,399393,,,,
2883,24488.572,1,579.766,1,348.144,,,,,65.55,,22.79,,720136,,,,
2884,5086.118,1,771.315,33,570.366,,,,,70.43,,18.78,,622271,,,,
2885,2186.498,4,143.256,1,80.888,,,,,80.26,,13.26,,452210,,,,
2886,2871.98,3,567.002,1,43.778,,,,,81.93,,13.61,,456185,,,,
2887,-8106.917,-3,725,1,1437.612,,,,,71.70,,16.94,,711640,,,,
2889,-425.928,-3,0,0,0.139,,,,,69.61,,22.46,,220975,,,,
2890,3790.257,1,74.678,1,49.399,,,,,78.13,,13.80,,451611,,,,
2891,5840.484,7,1043.032,1,-54.183,,,,,79.14,,13.71,,577419,,,,
2892,4848.844,4,309.276,1,9.518,,,,,68.44,,19.64,,435704,,,,
2897,-2752,-2,0,0,-0.229,,,,,82.54,,8.54,,27336,,,,
2901,-1,-1,0,0,0,,,,,71.60,,13.34,,13615,,,,
2903,503,2,0,0,0,,,,,76.78,,14.91,,58549,,,,
2904,19,3,0,0,0,,,,,50.17,,38.12,,16824,,,,
2905,939.35,1,0,0,0,,,,,81.23,,10.41,,26993,,,,
2906,3,3,0,0,0.093,,,,,59.24,,26.09,,17599,,,,
2908,-25.837,-1,0,0,0,,,,,90.12,,5.37,,10793,,,,
2910,-1,-1,0,0,0,,,,,92.95,,1.13,,1368,,,,
2911,-1,-1,0,0,0,,,,,40.99,,44.95,,39678,,,,
2912,-576.1,-2,-3,-1,0,,,,,79.62,,12.08,,73948,,,,
2913,-336.532,-2,0,0,0,,,,,50.15,,31.74,,113176,,,,
2915,401.123,1,0,0,-0.307,,,,,64.03,,21.32,,58223,,,,
2916,-5,-1,0,0,0,,,,,51.07,,30.00,,4635,,,,
2923,-2,-1,0,0,0,,,,,99.36,,0.32,,5129,,,,
2929,10,4,0,0,0,,,,,24.94,,51.45,,50388,,,,
2939,5,1,0,0,0,,,,,53.88,,13.69,,7046,,,,
3002,-135,-1,0,0,-7.489,,,,,59.19,,27.45,,9026,,,,
3003,3,1,0,0,-3.26,,,,,52.54,,32.77,,15903,,,,
3004,39.61,4,-57,-7,-0.269,,,,,45.84,,29.64,,18349,,,,
3005,1163.551,1,131.816,9,17.623,,,,,68.51,,19.72,,48860,,,,
3006,-3468.233,-1,1,2,-29.639,,,,,47.03,,33.63,,67333,,,,
3008,-633.308,-4,229.983,3,29.028,,,,,38.75,,26.67,,121564,,,,
3010,-67.555,-6,0,0,-3,,,,,51.67,,26.90,,50049,,,,
3011,138,6,0,0,0,,,,,27.18,,49.74,,48844,,,,
3013,149.646,1,1,1,-1.736,,,,,39.71,,49.55,,48366,,,,
3014,596.01,9,50.553,13,30.796,,,,,20.83,,54.45,,54195,,,,
3015,-47.911,-1,0,0,2.034,,,,,54.47,,28.71,,17045,,,,
3016,2418.671,1,0,0,248.195,,,,,66.35,,25.96,,41886,,,,
3017,-176.396,-4,-27.855,-1,-23.217,,,,,55.03,,17.97,,101175,,,,
3018,1,1,0,0,0,,,,,62.19,,30.75,,36623,,,,
3019,-417.542,-3,0,0,-14.564,,,,,33.05,,53.12,,96150,,,,
3021,21.27,1,0,0,0,,,,,65.36,,24.35,,8562,,,,
3022,551.186,3,0,0,65.186,,,,,59.69,,27.25,,17384,,,,
3023,-84.088,-1,-2,-3,-1.874,,,,,56.27,,16.48,,51462,,,,
3024,-403.95,-2,0,0,0,,,,,38.47,,34.60,,57070,,,,
3025,76.067,4,0,0,0,,,,,12.38,,64.49,,41515,,,,
3026,-2058.046,-1,10,12,4.101,,,,,38.95,,32.27,,70323,,,,
3027,163,1,0,0,0,,,,,33.48,,47.52,,47689,,,,
3028,-38.195,-5,0,0,2.069,,,,,38.47,,49.20,,55026,,,,
3029,-1329.878,-1,0,0,-15.848,,,,,35.27,,48.01,,65096,,,,
3030,9.04,1,1,1,5.639,,,,,50.96,,32.53,,35961,,,,
3031,-642,-2,0,0,0,,,,,58.01,,34.61,,17019,,,,
3032,183,1,0,0,-2,,,,,44.30,,36.51,,33159,,,,
3033,-278.94,-3,0,0,-10.533,,,,,32.90,,49.09,,96952,,,,
3034,51.297,4,-103.834,-1,-11.351,,,,,60.45,,17.36,,90503,,,,
3035,282.126,4,0,0,-152.015,,,,,23.03,,63.04,,114069,,,,
3036,-185.606,-2,750.54,3,1.051,,,,,78.47,,12.13,,86906,,,,
3037,1438.541,3,263.934,2,48.006,,,,,70.19,,15.17,,308575,,,,
3038,-6,-2,0,0,0,,,,,33.31,,47.62,,49819,,,,
3040,140,5,0,0,-10,,,,,64.84,,24.61,,23137,,,,
3041,450.495,4,0,0,0,,,,,22.09,,65.21,,69906,,,,
3042,-29.444,-1,79,2,-59.553,,,,,47.29,,37.13,,93364,,,,
3043,42,4,0,0,0,,,,,14.40,,60.96,,54724,,,,
3044,389.834,2,-20,-3,44.353,,,,,69.01,,11.67,,36030,,,,
3045,2391.247,1,18.584,4,0,,,,,90.36,,5.10,,59409,,,,
3046,7.606,1,0,0,0,,,,,46.74,,38.00,,19939,,,,
3047,433,4,0,0,0,,,,,15.07,,70.16,,67588,,,,
3048,-110.792,-1,0,0,-0.202,,,,,41.80,,45.63,,80893,,,,
3049,456.835,2,0,0,0.998,,,,,43.36,,44.67,,118569,,,,
3050,296,1,0,0,0,,,,,42.21,,39.56,,42099,,,,
3051,149.1,4,0,0,0,,,,,25.55,,51.48,,66737,,,,
3052,-34,-17,0,0,0,,,,,48.01,,28.85,,48952,,,,
3054,8,4,0,0,0,,,,,85.16,,8.31,,3394,,,,
3055,-309.918,-1,0,0,11.599,,,,,56.05,,27.90,,28106,,,,
3056,-176.769,-1,0,0,-0.272,,,,,27.36,,52.46,,71625,,,,
3057,41,4,0,0,0,,,,,32.89,,52.49,,37319,,,,
