TWLV1|20260923|202609232210|1958|code,name,mkt,high,low,close,chg,lot,wan,kshares,open
8390,金益鼎,2,91,90.2,90.4,0,193,1748,96116,90.4
8401,白紗科,2,22.6,22.5,22.55,0,35,79,70669,22.6
8403,盛弘,2,19.2,18.95,19,0.05,81,154,137640,19
8409,商之器,2,18.35,18.1,18.3,0.3,6,11,32000,18.1
8410,森田,2,28.7,27.8,28.2,-0.5,246,693,36589,28.7
8415,大國鋼,2,35.3,35.05,35.15,0.2,112,394,1031500,35.1
8416,實威,2,168.5,168.5,168.5,0,2,34,28211,168.5
8421,旭源,2,12.9,12.7,12.8,0,56,72,54817,12.8
8423,保綠-KY,2,18.1,17.95,17.95,-0.05,21,38,41714,18.1
8424,惠普,2,68.8,68.8,68.8,-0.1,2,14,36054,68.8
8426,紅木-KY,2,20.6,20.3,20.5,-0.1,15,31,50242,20.45
8431,匯鑽科,2,64.6,62.3,63.2,-0.8,1088,6895,48778,64
8432,東生華,2,50.7,50.1,50.7,0.1,22,111,38398,50.4
8433,弘帆,2,53,52.8,52.8,-0.2,15,79,54506,53
8435,鉅邁,2,53,52.8,52.8,-0.1,31,164,35200,52.8
8436,大江,2,106.5,105,105,-1,342,3607,117729,105
8437,大地-KY,2,9.89,9.08,9.87,0.84,58,54,47014,9.1
8440,綠電,2,20.35,20.05,20.35,0.3,45,91,50255,20.05
8444,綠河-KY,2,4.44,4.3,4.44,-0.07,5,2,125105,4.35
8446,華研,2,85,84.1,84.1,-0.1,24,202,52914,84.7
8450,霹靂,2,14.65,14.2,14.3,0.1,22,31,51310,14.65
8455,大拓-KY,2,22.35,22.35,22.35,0,10,22,25219,22.35
8472,納維康,2,78.3,78,78.3,0,4,31,17736,78
8477,創業家,2,14.5,14.25,14.5,0.25,32,46,84171,14.25
8489,三貝德,2,23.4,22.5,22.65,-0.75,147,338,59949,23.4
8905,裕國,2,35,34.8,34.8,0.05,5,17,119440,35
8906,花王,2,29.45,29,29.45,-0.35,9,26,44037,29
8908,欣雄,2,40.5,40,40,-0.5,71,286,315333,40.5
8916,光隆,2,40.95,40.75,40.9,-0.05,20,82,148592,40.95
8917,欣泰,2,55,54,55,0.5,8,44,162652,54
8924,大田,2,49.9,49.5,49.5,-0.45,39,193,83800,49.9
8927,北基,2,19.25,18.85,19.1,-0.05,174,331,419068,19.1
8928,鉅明,2,23.4,23,23,-0.4,27,62,50854,23.4
8929,富堡,2,12.9,12.75,12.8,-0.05,13,17,50581,12.85
8930,青鋼,2,29,28.5,28.9,-0.3,32,92,81809,29
8931,大汽電,2,43.2,42.6,43,-0.05,100,429,122255,43.2
8932,智通*,2,95.1,92.2,93.2,-0.5,1063,9974,357963,95.1
8933,愛地雅,2,4.5,4.36,4.5,0.15,84,38,326724,4.36
8935,邦泰,2,17.5,17.25,17.3,0.05,73,127,113495,17.3
8936,國統,2,52.4,51.9,52,0,595,3098,248078,52.4
8937,合騏*,2,27.65,27.15,27.2,-0.5,89,243,441680,27.4
8938,明安,2,53,52.3,52.3,-0.6,53,279,156986,52.9
8941,關中,2,44,43.95,43.95,-0.05,3,13,34972,43.95
8942,森鉅,2,40.7,40.55,40.6,-0.1,118,479,198842,40.7
9949,琉園,2,24.65,23.95,24,0.1,117,286,44861,23.95
9950,萬國通,2,10.15,10.15,10.15,0,16,16,167716,10.15
9951,皇田,2,48.2,47.95,48,-0.2,58,279,73300,48.1
