code,big,small,holders
2462,50.31,34.15,26091
2464,40.78,43.27,88839
2465,32.38,49.11,48751
2466,80.91,9.17,5509
2467,58.90,22.82,47621
2468,50.02,42.72,11320
2471,6.74,65.25,36849
2472,48.51,36.85,37762
2474,67.80,22.69,52057
2475,64.60,19.42,226580
2476,59.95,24.54,19248
2477,66.99,21.18,11699
2478,46.82,34.05,59068
2479,25.70,58.13,13053
2480,18.11,53.83,41995
2481,51.46,37.93,104016
2482,35.02,53.12,38589
2483,56.11,28.35,9406
2484,16.57,70.77,89185
2485,20.45,70.84,136781
2486,29.19,51.78,90488
2488,44.68,33.98,40634
2489,27.85,61.58,132519
2490,15.55,60.97,15415
2491,67.16,19.42,13357
2492,59.31,32.84,123432
2493,42.59,40.31,45778
2494,73.06,16.00,10286
2495,45.94,41.43,38208
2496,35.02,38.08,4233
2497,57.65,27.22,11948
2498,33.45,51.04,163905
2499,37.98,41.54,47823
2501,72.46,16.73,44244
2504,69.97,18.01,89939
2505,75.62,14.52,23760
2506,72.37,16.51,65349
2509,63.89,21.49,16383
2511,75.47,12.20,45958
2512,25.06,46.13,43909
2514,85.09,7.82,17693
2515,53.56,28.15,142011
2516,65.60,18.14,49027
2520,71.01,19.05,76589
2521,25.85,48.63,25293
2523,36.04,38.24,14033
2524,91.59,5.03,7572
2525,20.38,48.11,52522
2527,76.26,12.47,7585
2528,79.06,9.67,8319
2530,82.08,8.17,30920
2533,26.11,47.24,14042
2534,66.24,18.99,63125
2535,54.87,30.12,63408
2536,69.90,12.68,8341
2537,53.35,28.61,43284
2538,65.86,16.17,28679
2539,84.29,8.85,20473
2540,89.21,6.22,17376
2542,62.69,26.96,104507
2543,67.48,22.48,32142
2545,73.91,18.19,16418
2546,59.26,28.54,53817
2547,63.93,19.89,74458
2548,38.95,38.83,40751
2553,11.16,69.43,19287
2566,0.00,88.20,325
2569,74.73,8.16,61
2572,57.57,6.11,14
2591,0.00,85.92,80
2592,82.10,3.09,57
2596,61.73,16.68,3238
2597,78.08,12.81,12922
2599,51.78,13.72,1377
2601,26.55,55.60,107854
2603,70.35,19.89,270028
2605,49.18,36.50,105784
2606,75.36,16.79,45568
2607,71.58,15.76,38922
2608,71.30,18.94,51913
2609,60.59,33.01,353197
2610,70.15,21.86,243591
2611,44.10,44.13,50604
2612,71.73,19.37,36588
2613,49.59,35.80,40086
2614,41.22,44.33,100812
2615,86.89,7.91,91546
2616,41.00,47.14,213603
2617,59.70,27.62,27678
2618,79.40,13.54,195586
2622,0.00,99.97,11
2626,0.00,91.46,296
2630,61.70,32.29,23421
2633,85.24,10.39,104280
2634,46.38,44.18,116677
2636,37.76,46.88,55318
2637,78.50,10.18,23392
2639,99.01,0.82,1106
2640,58.20,14.06,3451
2641,22.66,58.50,80127
2642,60.38,37.82,19566
2643,58.78,31.43,4282
2644,74.84,12.97,2502
2645,78.21,15.06,31067
2646,63.60,30.27,241580
